Namespace(cpu=False, exp_name='loop_0.5dt', Psi_lr=0.03, learn_F=False, learn_C=False, clip_len=10, n_grad_desc_iter=500, single_frame=False, psi_model_input_type='eigen', save_interval=1, base_model='fixed_corotated', optimizer='SGD', force_convex=False, compare_grads=False, use_loop=True)
[Taichi] mode=release
[Taichi] preparing sandbox at /tmp/taichi-5ryeecot
[Taichi] version 0.7.26, llvm 10.0.0, commit e37bdb5e, linux, python 3.9.7
[Taichi] Starting on arch=x64
init E = tensor([1047.3070], device='cuda:0'), nu = tensor([0.2293], device='cuda:0')
C_max=146.1466064453125, F_max=1.3248913288116455
C_max=138.4140625, F_max=1.316086769104004
C_max=138.61865234375, F_max=1.3134374618530273
C_max=145.18603515625, F_max=1.3209956884384155
C_max=151.98291015625, F_max=1.327690601348877
C_max=159.0303955078125, F_max=1.333487868309021
C_max=165.6739501953125, F_max=1.338407039642334
C_max=178.554931640625, F_max=1.3425205945968628
C_max=193.54931640625, F_max=1.3459429740905762
C_max=206.3466796875, F_max=1.348812460899353
C_max=215.1241455078125, F_max=1.3512670993804932
C_max=219.13919067382812, F_max=1.353417992591858
C_max=218.34185791015625, F_max=1.3553322553634644
C_max=213.23095703125, F_max=1.3570256233215332
C_max=205.811279296875, F_max=1.3584731817245483
C_max=212.1031494140625, F_max=1.3596324920654297
C_max=213.9015655517578, F_max=1.36046302318573
C_max=211.56723022460938, F_max=1.3609497547149658
C_max=208.84429931640625, F_max=1.361120581626892
C_max=209.7971954345703, F_max=1.361041784286499
C_max=206.01605224609375, F_max=1.3607852458953857
C_max=203.9765625, F_max=1.3604114055633545
C_max=199.228759765625, F_max=1.3599656820297241
C_max=219.12548828125, F_max=1.3594852685928345
C_max=247.702880859375, F_max=1.3589986562728882
C_max=278.005859375, F_max=1.3585299253463745
C_max=306.097412109375, F_max=1.3682717084884644
C_max=328.12744140625, F_max=1.3812335729599
C_max=341.84130859375, F_max=1.3936147689819336
C_max=346.7216796875, F_max=1.4047542810440063
C_max=343.86572265625, F_max=1.4140299558639526
C_max=335.3037109375, F_max=1.4209322929382324
C_max=322.7490234375, F_max=1.425110936164856
C_max=307.79931640625, F_max=1.4264092445373535
C_max=291.75390625, F_max=1.4248460531234741
C_max=294.22515869140625, F_max=1.420590877532959
C_max=303.9647216796875, F_max=1.413912057876587
C_max=310.1065673828125, F_max=1.4051451683044434
C_max=312.391357421875, F_max=1.3946689367294312
C_max=310.725830078125, F_max=1.3828896284103394
C_max=304.6806640625, F_max=1.3702255487442017
C_max=307.16943359375, F_max=1.3570655584335327
C_max=310.328125, F_max=1.3437546491622925
C_max=307.84130859375, F_max=1.341353178024292
C_max=300.33544921875, F_max=1.3388733863830566
C_max=288.58935546875, F_max=1.3360092639923096
C_max=279.3974609375, F_max=1.3327666521072388
C_max=268.7138671875, F_max=1.3292121887207031
C_max=254.134765625, F_max=1.325448989868164
C_max=236.1884765625, F_max=1.3215982913970947
C_max=229.443359375, F_max=1.317786455154419
C_max=233.7099609375, F_max=1.3141385316848755
C_max=233.4853515625, F_max=1.3107712268829346
C_max=228.72998046875, F_max=1.307789921760559
C_max=219.46630859375, F_max=1.3052787780761719
iter [1/500]: lr=3e-02, loss=6.1136, E=1047.31, E_gt=1351.12; nu=0.2293, nu_gt=0.0840; C_dist=1360.63; F_dist=0.01
C_max=412.302734375, F_max=1.0724413394927979
C_max=387.93359375, F_max=1.0709093809127808
C_max=371.544921875, F_max=1.0694382190704346
C_max=372.4609375, F_max=1.0679223537445068
C_max=373.5029296875, F_max=1.0662968158721924
C_max=374.658203125, F_max=1.0691696405410767
C_max=375.830078125, F_max=1.0740736722946167
C_max=376.884765625, F_max=1.078403353691101
C_max=377.6826171875, F_max=1.0839089155197144
C_max=378.080078125, F_max=1.0904514789581299
C_max=377.83984375, F_max=1.09694504737854
C_max=376.6357421875, F_max=1.103314995765686
C_max=374.185546875, F_max=1.1094849109649658
C_max=370.3369140625, F_max=1.115383267402649
C_max=365.05859375, F_max=1.1209417581558228
C_max=358.42236328125, F_max=1.1260974407196045
C_max=350.59033203125, F_max=1.1307944059371948
C_max=341.78173828125, F_max=1.1349848508834839
C_max=332.22265625, F_max=1.138629674911499
C_max=322.12548828125, F_max=1.1416953802108765
C_max=311.68701171875, F_max=1.1441335678100586
C_max=301.076416015625, F_max=1.1458808183670044
C_max=290.423583984375, F_max=1.1468782424926758
C_max=279.824951171875, F_max=1.1470743417739868
C_max=270.5546875, F_max=1.1464346647262573
C_max=262.40679931640625, F_max=1.1449562311172485
C_max=254.262939453125, F_max=1.1426775455474854
C_max=246.0994873046875, F_max=1.1396914720535278
C_max=237.90380859375, F_max=1.1428395509719849
C_max=229.64794921875, F_max=1.1490809917449951
C_max=221.29931640625, F_max=1.155432105064392
C_max=214.5654296875, F_max=1.1617830991744995
C_max=209.107421875, F_max=1.1680171489715576
C_max=203.060546875, F_max=1.1740150451660156
C_max=200.859375, F_max=1.1796536445617676
C_max=211.75830078125, F_max=1.1848081350326538
C_max=226.92333984375, F_max=1.1893566846847534
C_max=241.555419921875, F_max=1.193184733390808
C_max=254.3739013671875, F_max=1.196197271347046
C_max=263.9080810546875, F_max=1.1983280181884766
C_max=268.5299072265625, F_max=1.1995726823806763
C_max=267.245361328125, F_max=1.2000293731689453
C_max=260.4376220703125, F_max=1.1998449563980103
C_max=249.3134765625, F_max=1.1991902589797974
C_max=235.301025390625, F_max=1.1982359886169434
C_max=219.6800537109375, F_max=1.1971384286880493
C_max=203.56689453125, F_max=1.1960335969924927
C_max=193.279296875, F_max=1.1950271129608154
C_max=201.896484375, F_max=1.1941903829574585
C_max=210.177734375, F_max=1.1935560703277588
C_max=217.748046875, F_max=1.1931246519088745
C_max=224.158203125, F_max=1.1928715705871582
C_max=228.951171875, F_max=1.1927502155303955
C_max=231.568359375, F_max=1.1927013397216797
C_max=232.43359375, F_max=1.1926614046096802
C_max=232.40234375, F_max=1.1925714015960693
C_max=229.982421875, F_max=1.1923801898956299
C_max=225.65234375, F_max=1.192050576210022
C_max=221.130859375, F_max=1.1915593147277832
C_max=216.51171875, F_max=1.1908957958221436
C_max=212.86328125, F_max=1.190061330795288
C_max=213.822265625, F_max=1.1890629529953003
C_max=214.6787109375, F_max=1.1879128217697144
C_max=214.947265625, F_max=1.1866254806518555
C_max=214.642578125, F_max=1.1852151155471802
C_max=213.779296875, F_max=1.183693528175354
C_max=212.373046875, F_max=1.184364914894104
C_max=210.4609375, F_max=1.1865261793136597
C_max=211.287109375, F_max=1.1884822845458984
C_max=215.501953125, F_max=1.1901954412460327
C_max=220.5859375, F_max=1.1916425228118896
C_max=226.48828125, F_max=1.1928138732910156
C_max=233.125, F_max=1.19370698928833
C_max=240.34375, F_max=1.1943248510360718
C_max=248.0703125, F_max=1.1946760416030884
C_max=256.189453125, F_max=1.1947696208953857
C_max=264.451171875, F_max=1.194612741470337
C_max=272.396484375, F_max=1.1942063570022583
C_max=279.375, F_max=1.1935458183288574
C_max=284.58984375, F_max=1.1943305730819702
C_max=287.1953125, F_max=1.1950231790542603
C_max=286.41796875, F_max=1.1951969861984253
C_max=281.84375, F_max=1.1948344707489014
C_max=273.33203125, F_max=1.1939544677734375
C_max=261.8046875, F_max=1.192602276802063
C_max=248.87890625, F_max=1.1908478736877441
C_max=233.98828125, F_max=1.1887766122817993
C_max=221.5439453125, F_max=1.1864805221557617
C_max=209.9677734375, F_max=1.1840503215789795
C_max=202.380859375, F_max=1.1815707683563232
C_max=194.1669921875, F_max=1.179112195968628
C_max=185.4521484375, F_max=1.1767237186431885
C_max=176.697265625, F_max=1.174429178237915
C_max=170.9765625, F_max=1.172235369682312
C_max=171.14453125, F_max=1.1709418296813965
C_max=175.5830078125, F_max=1.1702510118484497
C_max=179.2451171875, F_max=1.1693015098571777
C_max=181.93359375, F_max=1.1680841445922852
C_max=183.5634765625, F_max=1.166596531867981
C_max=184.142578125, F_max=1.1648463010787964
C_max=183.7158203125, F_max=1.1694142818450928
C_max=182.3662109375, F_max=1.1784931421279907
C_max=180.19921875, F_max=1.1876051425933838
C_max=177.3388671875, F_max=1.1967180967330933
C_max=178.29296875, F_max=1.205812931060791
C_max=186.140625, F_max=1.2148776054382324
C_max=194.0390625, F_max=1.223907709121704
C_max=201.66015625, F_max=1.2329245805740356
C_max=208.6640625, F_max=1.2419390678405762
C_max=214.75, F_max=1.2509472370147705
C_max=219.6640625, F_max=1.2599289417266846
C_max=223.2109375, F_max=1.2688469886779785
C_max=225.2421875, F_max=1.2776516675949097
C_max=225.72265625, F_max=1.2862855195999146
C_max=224.65234375, F_max=1.294736385345459
C_max=222.10546875, F_max=1.30296790599823
C_max=218.21484375, F_max=1.3109087944030762
C_max=213.11328125, F_max=1.3185126781463623
C_max=206.94140625, F_max=1.3257800340652466
C_max=199.875, F_max=1.3326857089996338
C_max=192.0703125, F_max=1.3391704559326172
C_max=196.7021484375, F_max=1.3451662063598633
C_max=201.4443359375, F_max=1.3506242036819458
C_max=205.517578125, F_max=1.3555210828781128
C_max=208.7939453125, F_max=1.3598569631576538
C_max=211.13671875, F_max=1.3636415004730225
C_max=212.3876953125, F_max=1.36689031124115
C_max=212.3935546875, F_max=1.3696248531341553
C_max=210.962890625, F_max=1.3718736171722412
C_max=207.9189453125, F_max=1.3736703395843506
C_max=203.1103515625, F_max=1.3750643730163574
C_max=196.4111328125, F_max=1.3761179447174072
C_max=187.8408203125, F_max=1.3768281936645508
C_max=177.5771484375, F_max=1.3771415948867798
C_max=188.0777587890625, F_max=1.376976490020752
C_max=199.97955322265625, F_max=1.376237154006958
C_max=207.72952270507812, F_max=1.3748228549957275
C_max=210.08741760253906, F_max=1.3726366758346558
C_max=207.0010986328125, F_max=1.3695955276489258
C_max=199.7171630859375, F_max=1.3656452894210815
C_max=190.0943603515625, F_max=1.3608205318450928
C_max=179.7877197265625, F_max=1.3551552295684814
C_max=169.87109375, F_max=1.3486735820770264
