Namespace(cpu=False, exp_name='loop', Psi_lr=0.03, learn_F=False, learn_C=False, clip_len=10, n_grad_desc_iter=500, single_frame=False, psi_model_input_type='eigen', save_interval=1, base_model='fixed_corotated', optimizer='SGD', force_convex=False, compare_grads=False, use_loop=True)
[Taichi] mode=release
[Taichi] preparing sandbox at /tmp/taichi-ab8ymzk3
[Taichi] version 0.7.26, llvm 10.0.0, commit e37bdb5e, linux, python 3.9.7
[Taichi] Starting on arch=x64
init E = tensor([1047.3070], device='cuda:0'), nu = tensor([0.2293], device='cuda:0')
C_max=188.376953125, F_max=1.17751944065094
C_max=182.451171875, F_max=1.195682168006897
C_max=184.953125, F_max=1.2140822410583496
C_max=234.1796875, F_max=1.2317758798599243
C_max=243.2890625, F_max=1.2489817142486572
C_max=207.1953125, F_max=1.2656874656677246
C_max=194.96484375, F_max=1.2817370891571045
C_max=201.111328125, F_max=1.2973159551620483
C_max=215.140625, F_max=1.312528371810913
C_max=227.76953125, F_max=1.3267239332199097
C_max=238.310546875, F_max=1.3393079042434692
C_max=245.3046875, F_max=1.350058913230896
C_max=247.5244140625, F_max=1.3592252731323242
C_max=244.1826171875, F_max=1.3673210144042969
C_max=235.291015625, F_max=1.3747591972351074
C_max=222.19140625, F_max=1.3817118406295776
C_max=205.71875, F_max=1.3870993852615356
C_max=186.20703125, F_max=1.3893169164657593
C_max=200.693115234375, F_max=1.3872036933898926
C_max=203.93951416015625, F_max=1.3813093900680542
C_max=195.42901611328125, F_max=1.3721145391464233
C_max=181.53692626953125, F_max=1.3608031272888184
C_max=164.4217529296875, F_max=1.3475421667099
C_max=155.962890625, F_max=1.3507589101791382
C_max=180.157958984375, F_max=1.362979769706726
C_max=212.5272216796875, F_max=1.3728910684585571
C_max=256.578857421875, F_max=1.3807402849197388
C_max=294.2470703125, F_max=1.3859156370162964
C_max=297.742919921875, F_max=1.3868365287780762
C_max=266.629150390625, F_max=1.3823038339614868
C_max=260.2874450683594, F_max=1.37282395362854
C_max=251.4371337890625, F_max=1.3614137172698975
C_max=247.0157470703125, F_max=1.3518537282943726
C_max=238.21337890625, F_max=1.346580982208252
C_max=245.31396484375, F_max=1.3794574737548828
C_max=321.067138671875, F_max=1.4106903076171875
C_max=389.292724609375, F_max=1.4290590286254883
C_max=420.763671875, F_max=1.4271098375320435
C_max=406.49853515625, F_max=1.4064282178878784
C_max=362.927734375, F_max=1.3751604557037354
C_max=330.324951171875, F_max=1.360194444656372
C_max=340.9085693359375, F_max=1.3685152530670166
C_max=342.819091796875, F_max=1.3750569820404053
C_max=334.60205078125, F_max=1.3775529861450195
C_max=358.92333984375, F_max=1.3749440908432007
C_max=358.4453125, F_max=1.3672250509262085
C_max=326.6787109375, F_max=1.355073094367981
C_max=296.1162109375, F_max=1.3399531841278076
C_max=280.779296875, F_max=1.324180245399475
iter [2/500]: lr=3e-02, loss=8.5846, E=1047.31, E_gt=1351.12; nu=0.2293, nu_gt=0.0840; C_dist=1824.08; F_dist=0.01
C_max=415.46484375, F_max=1.0708889961242676
C_max=403.697265625, F_max=1.0673160552978516
C_max=417.3857421875, F_max=1.065880537033081
C_max=425.99609375, F_max=1.078975796699524
C_max=430.3388671875, F_max=1.0928856134414673
C_max=430.21875, F_max=1.1073355674743652
C_max=424.7109375, F_max=1.121530532836914
C_max=413.20556640625, F_max=1.1343860626220703
C_max=396.1953125, F_max=1.1448718309402466
C_max=374.99658203125, F_max=1.1522328853607178
C_max=351.108642578125, F_max=1.1560381650924683
C_max=325.8525390625, F_max=1.1558610200881958
C_max=300.18048095703125, F_max=1.15147066116333
C_max=285.5341796875, F_max=1.1441866159439087
C_max=285.911376953125, F_max=1.1597541570663452
C_max=273.56768798828125, F_max=1.174621343612671
C_max=251.30340576171875, F_max=1.18776273727417
C_max=257.716796875, F_max=1.1984186172485352
C_max=270.525390625, F_max=1.2057874202728271
C_max=311.953369140625, F_max=1.2088953256607056
C_max=342.698974609375, F_max=1.2070088386535645
C_max=347.8387451171875, F_max=1.200722336769104
C_max=320.343505859375, F_max=1.192307949066162
C_max=272.970703125, F_max=1.1873719692230225
C_max=235.099609375, F_max=1.185095191001892
C_max=260.080078125, F_max=1.1919642686843872
C_max=282.005859375, F_max=1.1991974115371704
C_max=292.96875, F_max=1.2001150846481323
C_max=288.314453125, F_max=1.196721076965332
C_max=276.17578125, F_max=1.1914616823196411
C_max=259.365234375, F_max=1.1862272024154663
C_max=245.47265625, F_max=1.189379334449768
C_max=240.6640625, F_max=1.1971381902694702
C_max=239.5556640625, F_max=1.203995704650879
C_max=235.26171875, F_max=1.2091090679168701
C_max=228.99609375, F_max=1.2119711637496948
C_max=241.345703125, F_max=1.2126535177230835
C_max=258.705078125, F_max=1.2117067575454712
C_max=278.9296875, F_max=1.2098346948623657
C_max=298.837890625, F_max=1.2075954675674438
C_max=311.154296875, F_max=1.2052733898162842
C_max=308.876953125, F_max=1.203004240989685
C_max=289.0546875, F_max=1.200852870941162
C_max=257.173828125, F_max=1.1987839937210083
C_max=255.2578125, F_max=1.196926474571228
C_max=261.57421875, F_max=1.1951417922973633
C_max=253.66796875, F_max=1.1931099891662598
C_max=232.06640625, F_max=1.1904551982879639
C_max=204.359375, F_max=1.187009572982788
C_max=197.0341796875, F_max=1.183061122894287
C_max=192.802734375, F_max=1.1791361570358276
C_max=187.6171875, F_max=1.1792597770690918
C_max=182.55078125, F_max=1.1983747482299805
C_max=191.734375, F_max=1.2170206308364868
C_max=239.1328125, F_max=1.2348823547363281
C_max=244.84375, F_max=1.2521733045578003
C_max=205.2265625, F_max=1.268894910812378
C_max=196.01171875, F_max=1.2849056720733643
C_max=200.2890625, F_max=1.3004008531570435
C_max=213.96875, F_max=1.315470576286316
C_max=226.23046875, F_max=1.3294563293457031
C_max=236.34375, F_max=1.3417778015136719
C_max=242.9111328125, F_max=1.3522305488586426
C_max=244.677734375, F_max=1.361099123954773
C_max=240.9150390625, F_max=1.3689227104187012
C_max=231.74609375, F_max=1.376112699508667
C_max=218.5615234375, F_max=1.3827780485153198
C_max=202.0654296875, F_max=1.3877769708633423
C_max=183.6966552734375, F_max=1.3894906044006348
C_max=200.20751953125, F_max=1.3868203163146973
C_max=201.687255859375, F_max=1.38035249710083
C_max=192.60342407226562, F_max=1.370570421218872
C_max=178.90780639648438, F_max=1.3585609197616577
C_max=161.638427734375, F_max=1.3444451093673706
C_max=156.7900390625, F_max=1.357300043106079
C_max=184.66943359375, F_max=1.3690134286880493
C_max=216.6844482421875, F_max=1.3784188032150269
C_max=263.431396484375, F_max=1.3856514692306519
C_max=297.995849609375, F_max=1.3898940086364746
C_max=296.86572265625, F_max=1.3895126581192017
C_max=262.3125, F_max=1.383560061454773
C_max=261.61297607421875, F_max=1.3731309175491333
C_max=250.003662109375, F_max=1.3617411851882935
C_max=247.12640380859375, F_max=1.3530093431472778
C_max=238.3443603515625, F_max=1.3490110635757446
C_max=254.711669921875, F_max=1.3841538429260254
C_max=331.719482421875, F_max=1.41530442237854
C_max=396.98828125, F_max=1.431498408317566
C_max=422.42041015625, F_max=1.4266687631607056
C_max=403.02783203125, F_max=1.4037799835205078
C_max=356.205078125, F_max=1.3715369701385498
